Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
958,2021/05/27,271.00,9.72,271.00,250.00,259.00,"39,493","10,469,177.00"
959,2021/05/25,247.00,9.78,247.00,221.00,221.00,"70,202","16,878,915.00"
960,2021/05/24,225.00,-1.75,240.00,224.00,240.00,"32,936","7,560,796.00"
961,2021/05/23,229.00,4.57,234.00,211.00,219.00,"33,090","7,398,855.00"
962,2021/05/20,219.00,-2.23,226.00,211.00,222.00,"31,624","6,898,425.00"
963,2021/05/19,224.00,-3.03,246.00,218.00,242.00,"53,397","12,358,004.00"
964,2021/05/18,231.00,10,231.00,215.00,220.00,"58,994","13,435,477.00"
965,2021/05/17,210.00,2.94,214.00,200.00,207.00,"42,283","8,739,531.00"
966,2021/05/16,204.00,-3.77,210.00,198.00,210.00,"48,287","9,816,074.00"
967,2021/05/13,212.00,8.16,212.00,190.00,205.00,"69,342","14,434,848.00"
968,2021/05/12,196.00,6.52,201.00,180.00,182.00,"54,427","10,517,566.00"
969,2021/05/11,184.00,1.1,188.00,179.00,183.00,"24,858","4,527,164.00"
970,2021/05/10,182.00,0,182.00,176.00,179.00,"15,920","2,868,365.00"
971,2021/05/09,182.00,-3.7,189.00,172.00,189.00,"32,066","5,849,755.00"
972,2021/05/06,189.00,2.16,199.00,175.00,194.00,"52,800","10,027,476.00"
973,2021/05/05,185.00,9.47,185.00,172.00,172.00,"85,641","15,568,382.00"
974,2021/05/04,169.00,3.05,180.00,163.00,163.00,"27,375","4,650,719.00"
975,2021/05/03,164.00,-1.2,169.00,164.00,168.00,"13,580","2,262,470.00"
976,2021/05/02,166.00,1.22,168.00,156.00,156.00,"20,246","3,355,429.00"
977,2021/04/29,164.00,0,166.00,161.00,166.00,"5,060","827,270.00"
978,2021/04/28,164.00,0.61,177.00,153.00,171.00,"7,936","1,381,749.00"
979,2021/04/27,163.00,4.49,164.00,149.00,149.00,"11,553","1,852,009.00"
980,2021/04/26,156.00,-3.11,164.00,156.00,158.00,"13,861","2,228,100.00"
981,2021/04/25,161.00,-2.42,169.00,160.00,162.00,"19,595","3,205,512.00"
982,2021/04/22,165.00,1.85,166.00,158.00,159.00,"15,101","2,460,810.00"
983,2021/04/21,162.00,-1.22,165.00,161.00,164.00,"8,188","1,331,589.00"
984,2021/04/20,164.00,0.61,164.00,160.00,161.00,"7,360","1,188,145.00"
985,2021/04/19,163.00,-1.21,165.00,160.00,162.00,"3,418","558,827.00"
986,2021/04/18,165.00,0.61,166.00,162.00,162.00,"8,942","1,470,690.00"
987,2021/04/15,164.00,-0.61,171.00,162.00,162.00,"16,431","2,701,947.00"
988,2021/04/13,165.00,1.23,166.00,161.00,163.00,"13,720","2,257,062.00"
989,2021/04/12,163.00,-0.61,171.00,162.00,164.00,"22,723","4,028,062.00"
