Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
364,2023/12/04,230.00,0.66,236.60,224.10,224.10,"5,770","1,341,608.00"
365,2023/12/03,228.50,0.18,230.20,222.10,224.00,"3,890","878,037.00"
366,2023/11/30,228.10,-1.3,235.60,227.00,230.00,"9,034","2,086,169.20"
367,2023/11/29,231.10,-3.59,236.00,231.10,239.70,"15,030","3,531,983.00"
368,2023/11/28,239.70,-0.08,249.00,227.40,238.00,"12,190","2,873,622.50"
369,2023/11/27,239.90,-1.28,246.70,235.00,239.00,"8,715","2,083,357.20"
370,2023/11/26,243.00,3.62,244.80,231.10,235.00,"18,249","4,394,599.20"
371,2023/11/23,234.50,-2.58,242.00,222.10,235.90,"9,185","2,168,777.50"
372,2023/11/22,240.70,9.41,240.70,216.00,216.00,"6,720","1,520,951.00"
373,2023/11/21,220.00,-4.76,230.50,217.20,227.00,"16,128","3,575,334.50"
374,2023/11/20,231.00,-5.33,245.00,230.00,244.00,"10,584","2,495,802.00"
375,2023/11/09,244.00,-3.94,254.90,241.30,254.90,"7,296","1,796,747.00"
376,2023/11/08,254.00,7.4,255.90,232.00,232.00,"20,148","5,002,395.90"
377,2023/11/07,236.50,3.32,248.80,225.00,225.00,"14,240","3,354,189.50"
378,2023/11/06,228.90,4.05,233.30,217.00,217.00,"8,094","1,841,558.00"
379,2023/11/05,220.00,-3.93,226.00,218.10,225.50,"12,343","2,723,854.70"
380,2023/11/02,229.00,-2.14,232.00,226.10,230.00,"6,626","1,520,890.60"
381,2023/11/01,234.00,0.21,238.00,230.00,230.00,"4,755","1,116,226.50"
382,2023/10/31,233.50,-2.34,238.00,230.20,234.40,"6,960","1,638,764.00"
383,2023/10/30,239.10,0.89,242.70,234.00,234.00,"4,570","1,084,035.00"
384,2023/10/29,237.00,-3.97,245.10,236.10,245.10,"7,530","1,809,143.00"
385,2023/10/19,246.80,-1.24,250.00,238.70,249.00,"7,799","1,885,121.00"
386,2023/10/18,249.90,4.12,249.90,236.50,240.00,"6,811","1,676,124.00"
387,2023/10/17,240.00,-0.83,250.90,239.30,240.00,"8,180","1,974,733.60"
388,2023/10/16,242.00,-4.72,250.00,240.20,250.00,"15,679","3,805,026.80"
389,2023/10/12,254.00,-4.15,259.70,246.00,259.70,"4,899","1,230,086.40"
390,2023/10/11,265.00,3.11,265.00,247.20,252.00,"9,629","2,449,889.40"
391,2023/10/10,257.00,-0.46,259.00,251.00,255.00,"10,281","2,593,005.40"
392,2023/10/09,258.20,-2.53,270.00,253.00,269.90,"8,108","2,114,446.00"
393,2023/10/08,264.90,-3.85,271.10,264.80,271.10,"17,375","4,640,903.00"
394,2023/10/05,275.50,-1.25,295.90,272.00,273.60,"14,725","4,077,537.50"
395,2023/10/04,279.00,-1.76,282.00,270.50,278.40,"19,809","5,473,438.50"
396,2023/10/03,284.00,0.96,290.00,270.00,275.70,"15,566","4,287,533.40"
397,2023/10/02,281.30,-5.29,291.10,268.70,291.10,"24,873","7,000,303.30"
398,2023/10/01,297.00,6.07,303.00,263.00,275.00,"25,658","6,986,234.10"
399,2023/09/27,280.00,-6.67,305.90,278.50,300.00,"25,370","7,230,877.50"
400,2023/09/26,300.00,5.26,313.00,284.00,289.00,"44,104","12,981,813.00"
401,2023/09/25,285.00,3.64,292.80,266.10,269.60,"27,388","7,718,188.40"
402,2023/09/24,275.00,-5.17,285.20,270.60,284.20,"30,936","8,566,872.40"
403,2023/09/21,290.00,5.45,300.00,272.00,276.00,"41,134","11,873,654.10"
404,2023/09/19,275.00,9.56,276.10,246.10,256.00,"32,728","8,687,054.70"
405,2023/09/18,251.00,0.88,255.00,238.00,250.00,"9,446","2,358,197.20"
406,2023/09/17,248.80,-5.4,257.80,240.00,257.80,"24,259","5,901,754.30"
407,2023/09/13,263.00,7.35,263.00,236.00,240.10,"9,240","2,295,036.00"
408,2023/09/12,245.00,-2,255.00,240.40,245.00,"4,655","1,130,861.00"
409,2023/09/11,250.00,6.38,255.00,230.30,230.30,"16,105","3,986,436.90"
410,2023/09/10,235.00,1.25,245.00,230.00,233.00,"6,060","1,417,874.00"
411,2023/09/07,232.10,-6.94,244.50,232.00,244.50,"10,700","2,513,854.70"
412,2023/09/05,249.40,-2,250.00,237.10,249.50,"6,706","1,621,832.00"
413,2023/09/04,254.50,7.84,254.60,231.00,233.00,"9,923","2,343,888.00"
414,2023/09/03,236.00,-3.67,240.10,235.10,240.10,"5,350","1,266,725.00"
415,2023/08/30,245.00,0,254.70,237.20,249.80,"9,340","2,246,696.00"
416,2023/08/29,245.00,-0.04,246.00,241.20,242.50,"7,326","1,780,547.00"
417,2023/08/28,245.10,-2.74,262.00,243.20,247.00,"6,280","1,545,612.00"
418,2023/08/27,252.00,-2.33,263.10,247.00,253.00,"12,800","3,211,885.50"
419,2023/08/24,258.00,-4.41,275.00,255.00,265.00,"9,035","2,369,675.50"
420,2023/08/23,269.90,1.85,270.30,255.00,270.00,"9,061","2,414,256.10"
421,2023/08/22,265.00,3.8,270.00,252.30,252.30,"7,827","2,036,229.20"
422,2023/08/21,255.30,-4.35,270.00,255.20,266.00,"7,750","2,023,876.00"
423,2023/08/20,266.90,-4.68,275.40,263.80,274.40,"9,767","2,614,929.30"
424,2023/08/17,280.00,2.19,283.00,266.00,268.70,"29,151","7,944,057.00"
425,2023/08/16,274.00,-2.11,282.00,266.60,274.40,"13,959","3,769,862.50"
426,2023/08/15,279.90,-2.81,283.00,275.00,282.30,"10,334","2,871,521.00"
427,2023/08/14,288.00,0.35,292.70,281.30,281.30,"9,014","2,557,746.50"
428,2023/08/13,287.00,-1.03,299.90,282.30,286.00,"13,041","3,714,035.20"
429,2023/08/10,290.00,-3.33,306.00,288.30,306.00,"9,529","2,786,577.50"
430,2023/08/09,300.00,1.87,300.00,285.00,288.80,"10,406","3,048,070.50"
431,2023/08/08,294.50,-1.51,304.90,290.00,295.00,"16,130","4,749,417.00"
432,2023/08/07,299.00,0.61,312.00,288.00,293.00,"11,490","3,456,209.00"
433,2023/08/06,297.20,-0.93,312.00,294.00,294.00,"12,350","3,681,544.00"
434,2023/08/03,300.00,-0.7,308.00,297.00,297.10,"20,059","6,039,152.00"
435,2023/08/02,302.10,-1.6,308.00,300.10,302.50,"12,140","3,686,925.50"
436,2023/08/01,307.00,-2.23,320.00,307.00,308.10,"6,130","1,897,709.50"
437,2023/07/31,314.00,0.1,326.20,308.00,319.40,"10,900","3,384,959.80"
438,2023/07/30,313.70,-3.77,332.50,313.70,332.50,"8,101","2,554,977.00"
439,2023/07/27,326.00,0.62,326.00,318.10,321.30,"7,589","2,437,810.00"
440,2023/07/26,324.00,-0.61,330.00,322.00,326.00,"10,030","3,257,562.00"
441,2023/07/25,326.00,-2.04,345.00,325.00,327.00,"9,285","3,056,196.00"
442,2023/07/24,332.80,1.16,341.20,325.00,325.00,"22,221","7,396,959.90"
443,2023/07/23,329.00,-1.2,339.50,322.50,329.00,"11,127","3,675,470.50"
444,2023/07/20,333.00,0.45,338.10,319.10,324.90,"18,730","6,125,544.50"
445,2023/07/19,331.50,0.64,331.50,320.00,324.00,"8,340","2,708,384.00"
446,2023/07/18,329.40,1.35,331.50,322.00,331.50,"12,679","4,144,027.00"
447,2023/07/17,325.00,-2.99,329.90,321.80,328.30,"17,220","5,617,222.00"
448,2023/07/16,335.00,5.18,345.70,316.10,319.00,"13,150","4,245,926.00"
449,2023/07/13,318.50,-6.05,345.00,318.00,333.00,"73,744","24,019,499.00"
450,2023/07/12,339.00,4.15,340.00,319.00,319.00,"15,388","5,114,857.00"
451,2023/07/11,325.50,0.46,330.00,315.00,330.00,"16,266","5,191,557.50"
452,2023/07/10,324.00,-1.82,330.00,321.10,325.10,"12,916","4,197,308.80"
453,2023/07/09,330.00,-1.14,349.00,327.00,327.20,"21,065","7,011,216.00"
